Time sec,Extension mm,Strain 1 %,Load N,Tensile stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Tensile extension mm,Tensile strain %,Displacement (Strain 1) mm,True strain %,Corrected Position mm,Tenacity gf/tex,True stress Pa
0,0.2822662,26.22865,305.8764,16.16426,0,0,0,0,0,0.2822662,0.3714029,6.557162,0.3707149,0.2822662,311.9071,16224300
0.05,0.2881853,26.26918,390.9262,20.65878,0,0,0,0,0,0.2881854,0.3791912,6.567296,0.3784741,0.2881853,398.6338,20737120
0.1,0.2897399,26.24847,428.0981,22.62316,0,0,0,0,0,0.2897399,0.3812367,6.562119,0.3805118,0.2897399,436.5386,22709410
0.15,0.2898595,26.22119,430.8606,22.76915,0,0,0,0,0,0.2898594,0.381394,6.555296,0.3806686,0.2898595,439.3555,22855990
0.2,0.2898595,26.29585,429.478,22.69608,0,0,0,0,0,0.2898594,0.381394,6.573964,0.3806686,0.2898595,437.9456,22782640
0.25,0.2898595,26.20681,428.4393,22.64119,0,0,0,0,0,0.2898594,0.381394,6.551702,0.3806686,0.2898595,436.8864,22727540
0.3,0.2898595,26.27834,428.0993,22.62322,0,0,0,0,0,0.2898594,0.381394,6.569584,0.3806686,0.2898595,436.5398,22709510
0.35,0.2898595,26.22751,426.8314,22.55622,0,0,0,0,0,0.2898594,0.381394,6.556878,0.3806686,0.2898595,435.2469,22642250
0.4,0.2898595,26.27263,426.2149,22.52365,0,0,0,0,0,0.2898594,0.381394,6.568158,0.3806686,0.2898595,434.6183,22609550
0.45,0.2899192,26.22912,425.6235,22.49239,0,0,0,0,0,0.2899192,0.3814727,6.557279,0.3807469,0.2899192,434.0152,22578190
0.5,0.2901584,26.24895,425.1833,22.46913,0,0,0,0,0,0.2901584,0.3817874,6.562238,0.3810604,0.2901584,433.5663,22554910
0.55,0.2906965,26.26411,429.6727,22.70637,0,0,0,0,0,0.2906965,0.3824954,6.566028,0.3817657,0.2906965,438.1442,22793220
0.6,0.2915336,26.23123,436.9495,23.09092,0,0,0,0,0,0.2915335,0.3835968,6.557807,0.3828629,0.2915336,445.5645,23179500
0.6500001,0.2924304,26.25996,449.7522,23.76749,0,0,0,0,0,0.2924304,0.3847768,6.564989,0.3840385,0.2924304,458.6197,23858940
0.7000001,0.2933272,26.23172,462.5968,24.44627,0,0,0,0,0,0.2933272,0.3859569,6.557929,0.385214,0.2933272,471.7175,24540620
0.7500001,0.2942241,26.28114,474.2448,25.06182,0,0,0,0,0,0.2942241,0.387137,6.570286,0.3863895,0.2942241,483.5951,25158840
0.8,0.2951209,26.21033,486.9382,25.73261,0,0,0,0,0,0.2951209,0.388317,6.552582,0.387565,0.2951209,496.5388,25832540
0.85,0.2960178,26.27027,497.6317,26.29772,0,0,0,0,0,0.2960178,0.3894971,6.567568,0.3887405,0.2960178,507.4431,26400150
0.9000001,0.2968548,26.24833,509.447,26.92211,0,0,0,0,0,0.2968549,0.3905985,6.562083,0.3898376,0.2968548,519.4914,27027260
0.9500001,0.2976919,26.242,519.3568,27.4458,0,0,0,0,0,0.2976919,0.3916999,6.560501,0.3909347,0.2976919,529.5966,27553300
1,0.2985289,26.24929,529.7499,27.99503,0,0,0,0,0,0.2985289,0.3928012,6.562323,0.3920318,0.2985289,540.1945,28104990
1.05,0.299366,26.2462,541.6121,28.62189,0,0,0,0,0,0.299366,0.3939026,6.561549,0.3931288,0.299366,552.2906,28734640
1.1,0.3001432,26.26555,550.021,29.06627,0,0,0,0,0,0.3001432,0.3949253,6.566387,0.3941476,0.3001432,560.8654,29181060
1.15,0.3009205,26.21042,560.5269,29.62146,0,0,0,0,0,0.3009205,0.3959481,6.552605,0.3951663,0.3009205,571.5784,29738740
1.2,0.3018173,26.28769,571.547,30.20383,0,0,0,0,0,0.3018174,0.3971281,6.571924,0.3963416,0.3018173,582.8158,30323780
1.25,0.3027142,26.22947,583.4735,30.83409,0,0,0,0,0,0.3027142,0.3983081,6.557368,0.397517,0.3027142,594.9774,30956910
