time,Ch1,Ch2,Ch3
1,4.89,9.501,4.89
2,-4.89,4.7505,0
3,0,9.501,9.78
4,0,4.7505,0
5,-4.89,4.7505,0
6,0,4.7505,4.89
7,0,4.7505,4.89
8,-4.89,0,4.89
9,0,4.7505,4.89
10,0,4.7505,4.89
11,-4.89,4.7505,0
12,0,4.7505,4.89
13,4.89,9.501,9.78
14,0,4.7505,0
15,0,4.7505,4.89
16,4.89,9.501,4.89
17,0,4.7505,4.89
18,0,4.7505,4.89
19,4.89,9.501,9.78
20,0,4.7505,4.89
21,0,4.7505,0
22,4.89,9.501,9.78
23,0,4.7505,0
24,0,4.7505,4.89
25,4.89,9.501,4.89
26,0,4.7505,4.89
27,0,4.7505,4.89
28,4.89,9.501,9.78
29,-4.89,4.7505,0
30,-4.89,4.7505,0
31,0,4.7505,9.78
32,-4.89,0,0
33,-4.89,0,0
34,0,4.7505,4.89
35,0,4.7505,4.89
36,0,0,0
37,4.89,4.7505,4.89
38,4.89,9.501,4.89
39,4.89,4.7505,0
40,9.78,4.7505,9.78
41,4.89,4.7505,4.89
42,-4.89,4.7505,0
43,4.89,4.7505,9.78
44,4.89,4.7505,4.89
45,0,0,0
46,0,4.7505,4.89
47,4.89,9.501,4.89
48,0,0,0
49,4.89,4.7505,9.78
50,4.89,4.7505,4.89
51,-4.89,4.7505,0
52,0,4.7505,4.89
53,0,9.501,4.89
54,-4.89,0,0
55,0,4.7505,4.89
56,4.89,4.7505,9.78
57,-4.89,0,0
58,0,4.7505,4.89
59,9.78,9.501,9.78
60,-4.89,4.7505,0
61,0,4.7505,4.89
62,4.89,9.501,9.78
63,-4.89,4.7505,0
64,4.89,9.501,4.89
65,4.89,9.501,9.78
66,-4.89,0,0
67,0,4.7505,4.89
68,9.78,9.501,9.78
69,0,4.7505,0
70,-4.89,4.7505,4.89
71,4.89,9.501,9.78
72,0,4.7505,4.89
73,0,4.7505,0
74,4.89,9.501,9.78
75,0,4.7505,4.89
76,0,4.7505,0
77,9.78,14.252,9.78
78,4.89,9.501,4.89
79,-4.89,4.7505,0
80,4.89,4.7505,4.89
81,-4.89,4.7505,4.89
82,-9.78,-4.7505,0
83,0,4.7505,4.89
84,0,4.7505,4.89
85,-4.89,0,0
86,4.89,9.501,4.89
87,4.89,9.501,9.78
88,-4.89,0,0
89,4.89,4.7505,4.89
90,4.89,9.501,9.78
91,0,0,4.89
92,4.89,9.501,9.78
93,4.89,9.501,4.89
94,-4.89,0,4.89
95,4.89,9.501,4.89
96,4.89,4.7505,4.89
97,0,0,0
98,4.89,9.501,4.89
99,4.89,4.7505,4.89
100,-4.89,0,0
101,0,4.7505,0
102,4.89,9.501,9.78
103,-4.89,0,0
104,0,4.7505,4.89
105,4.89,9.501,4.89
106,-4.89,0,0
107,4.89,4.7505,4.89
108,4.89,9.501,4.89
109,0,0,0
110,0,4.7505,4.89
111,4.89,9.501,4.89
112,0,0,0
113,0,0,4.89
114,4.89,4.7505,9.78
115,0,0,4.89
116,0,0,9.78
117,4.89,4.7505,19.56
118,0,0,9.78
119,0,0,9.78
120,4.89,4.7505,14.67
121,4.89,0,9.78
122,4.89,-4.7505,14.67
123,14.67,4.7505,14.67
124,9.78,-4.7505,4.89
125,9.78,-4.7505,9.78
126,19.56,0,14.67
127,14.67,0,9.78
128,14.67,-4.7505,4.89
129,24.45,0,4.89
130,14.67,-9.501,0
131,19.56,-9.501,0
132,24.45,-4.7505,0
133,19.56,-9.501,-9.78
134,29.34,-9.501,-9.78
135,39.12,-4.7505,-4.89
136,34.23,-4.7505,-9.78
137,39.12,-4.7505,-14.67
138,48.9,-4.7505,-9.78
139,48.9,-4.7505,-14.67
140,58.68,-9.501,-19.56
141,68.46,-9.501,-9.78
142,63.57,-14.252,-9.78
143,73.35,-28.503,0
144,88.02,-28.503,4.89
145,83.13,-33.254,4.89
146,83.13,-38.004,4.89
147,88.02,-28.503,9.78
148,83.13,-33.254,4.89
149,83.13,-38.004,0
150,88.02,-28.503,9.78
151,83.13,-38.004,4.89
152,83.13,-38.004,0
153,88.02,-28.503,9.78
154,83.13,-38.004,4.89
155,83.13,-38.004,4.89
156,92.91,-33.254,14.67
157,83.13,-38.004,4.89
158,83.13,-38.004,4.89
159,92.91,-38.004,14.67
160,92.91,-38.004,9.78
161,88.02,-42.755,9.78
162,97.8,-38.004,19.56
163,88.02,-42.755,9.78
164,88.02,-42.755,9.78
165,102.69,-38.004,19.56
166,92.91,-47.505,14.67
167,97.8,-47.505,14.67
168,102.69,-42.755,19.56
169,97.8,-47.505,14.67
170,97.8,-52.256,14.67
171,102.69,-47.505,19.56
172,102.69,-52.256,19.56
173,97.8,-57.006,19.56
174,107.58,-52.256,24.45
175,107.58,-57.006,19.56
176,102.69,-57.006,24.45
177,107.58,-57.006,29.34
178,107.58,-57.006,24.45
179,107.58,-57.006,24.45
180,102.69,-61.757,24.45
181,102.69,-61.757,24.45
182,102.69,-66.507,24.45
183,107.58,-66.507,24.45
184,107.58,-66.507,24.45
185,112.47,-66.507,29.34
186,112.47,-66.507,24.45
187,112.47,-71.257,29.34
188,122.25,-66.507,29.34
189,117.36,-76.008,29.34
190,122.25,-71.257,29.34
191,127.14,-71.257,39.12
192,122.25,-76.008,29.34
193,122.25,-76.008,34.23
194,127.14,-71.257,39.12
195,122.25,-80.759,34.23
196,127.14,-80.759,39.12
197,132.03,-76.008,39.12
198,127.14,-85.509,34.23
199,132.03,-80.759,44.01
200,136.92,-76.008,44.01
201,127.14,-85.509,39.12
202,132.03,-80.759,44.01
203,136.92,-76.008,48.9
204,127.14,-90.26,39.12
205,132.03,-85.509,44.01
206,136.92,-80.759,53.79
207,132.03,-90.26,44.01
208,136.92,-85.509,48.9
209,146.7,-80.759,53.79
210,136.92,-95.01,48.9
211,141.81,-90.26,53.79
212,146.7,-85.509,53.79
213,136.92,-99.761,48.9
214,146.7,-90.26,53.79
215,151.59,-85.509,58.68
216,141.81,-99.761,53.79
217,151.59,-90.26,58.68
218,151.59,-90.26,63.57
219,141.81,-104.51,53.79
220,156.48,-90.26,63.57
221,156.48,-90.26,63.57
222,146.7,-104.51,58.68
223,161.37,-95.01,73.35
224,161.37,-95.01,68.46
225,151.59,-109.26,58.68
226,161.37,-99.761,73.35
227,161.37,-99.761,68.46
228,151.59,-104.51,63.57
229,166.26,-99.761,73.35
230,161.37,-99.761,68.46
231,146.7,-114.01,63.57
232,161.37,-104.51,78.24
233,161.37,-109.26,68.46
234,156.48,-114.01,63.57
235,171.15,-104.51,78.24
236,166.26,-114.01,73.35
237,161.37,-123.51,68.46
238,180.93,-109.26,83.13
239,176.04,-114.01,78.24
240,166.26,-118.76,73.35
241,185.82,-104.51,92.91
242,176.04,-118.76,83.13
243,166.26,-128.26,78.24
244,180.93,-109.26,88.02
245,176.04,-123.51,83.13
246,166.26,-128.26,78.24
247,185.82,-114.01,92.91
248,176.04,-123.51,83.13
249,176.04,-133.01,78.24
250,190.71,-114.01,92.91
251,180.93,-128.26,88.02
252,176.04,-133.01,83.13
253,190.71,-118.76,97.8
254,180.93,-137.76,92.91
255,176.04,-137.76,78.24
256,190.71,-123.51,97.8
257,185.82,-137.76,92.91
258,180.93,-142.51,88.02
259,195.6,-128.26,97.8
260,185.82,-137.76,92.91
261,185.82,-142.51,92.91
262,200.49,-128.26,107.58
263,190.71,-142.51,97.8
264,190.71,-142.51,92.91
265,200.49,-133.01,102.69
266,195.6,-142.51,97.8
267,190.71,-147.27,97.8
268,200.49,-137.76,107.58
269,195.6,-147.27,102.69
270,195.6,-152.02,102.69
271,205.38,-142.51,112.47
272,200.49,-152.02,107.58
273,200.49,-152.02,107.58
274,210.27,-147.27,112.47
275,200.49,-156.77,107.58
276,205.38,-156.77,107.58
277,210.27,-152.02,117.36
278,205.38,-156.77,112.47
279,210.27,-156.77,112.47
280,210.27,-152.02,117.36
281,205.38,-161.52,112.47
282,205.38,-166.27,112.47
283,210.27,-156.77,117.36
284,205.38,-166.27,112.47
285,210.27,-166.27,117.36
286,215.16,-161.52,122.25
287,210.27,-166.27,117.36
288,220.05,-166.27,122.25
289,224.94,-161.52,122.25
290,224.94,-166.27,127.14
291,224.94,-171.02,127.14
292,224.94,-166.27,127.14
293,224.94,-166.27,122.25
294,224.94,-171.02,132.03
295,224.94,-171.02,127.14
296,224.94,-175.77,127.14
297,229.83,-175.77,132.03
298,234.72,-175.77,136.92
299,229.83,-180.52,132.03
300,234.72,-175.77,136.92
301,234.72,-180.52,136.92
302,229.83,-185.27,136.92
303,234.72,-180.52,136.92
304,234.72,-185.27,141.81
305,234.72,-185.27,136.92
306,239.61,-185.27,136.92
307,239.61,-185.27,146.7
308,239.61,-190.02,136.92
309,239.61,-190.02,141.81
310,244.5,-190.02,146.7
311,239.61,-194.77,141.81
312,244.5,-194.77,146.7
313,249.39,-190.02,146.7
314,244.5,-199.52,146.7
315,244.5,-199.52,151.59
316,249.39,-199.52,146.7
317,249.39,-199.52,146.7
318,249.39,-204.27,151.59
319,254.28,-199.52,156.48
320,249.39,-209.02,151.59
321,249.39,-204.27,156.48
322,254.28,-204.27,151.59
